import time: self [us] | cumulative | imported package
import time:       686 |        686 |     pandas._version_meson
import time:      1092 |     567984 |   pandas
import time:       689 |        689 |     hsim.core.des
import time:       491 |        491 |       hsim.core.agent
import time:       454 |        454 |           hsim.core.core
import time:       978 |        978 |             sortedcontainers.sortedlist
import time:       560 |        560 |             sortedcontainers.sortedset
import time:       540 |        540 |             sortedcontainers.sorteddict
import time:       718 |       2795 |           sortedcontainers
import time:       728 |        728 |           hsim.core.core.event
import time:       778 |       4754 |         hsim.core.core.env
import time:       391 |        391 |           hsim.core.fsm
import time:       896 |        896 |           hsim.core.core.msg
import time:      2088 |       2088 |             logging
import time:      1069 |       1069 |             hsim.core.fsm.states
import time:       778 |       3934 |           hsim.core.fsm.transitions
import time:       915 |       6134 |         hsim.core.fsm.FSM
import time:       704 |      11592 |       hsim.core.agent.agent
import time:       700 |      12781 |     hsim.core.agent.q
import time:      1536 |      15005 |   hsim.core.des.des
import time:       763 |        763 |     hsim.core.des.pymulate
import time:       914 |       1677 |   hsim.core.des.frame
import time:      1106 |       1106 |         _plotly_utils
import time:       943 |       2048 |       _plotly_utils.importers
import time:       570 |        570 |         email
import time:       485 |        485 |             quopri
import time:       689 |        689 |               email._parseaddr
import time:       593 |        593 |                 email.base64mime
import time:       781 |        781 |                 email.quoprimime
import time:       761 |        761 |                 email.errors
import time:       442 |        442 |                 email.encoders
import time:       656 |       3231 |               email.charset
import time:       814 |       4732 |             email.utils
import time:       885 |        885 |               email.header
import time:       641 |       1526 |             email._policybase
import time:       640 |        640 |             email._encoded_words
import time:       389 |        389 |             email.iterators
import time:      1099 |       8868 |           email.message
import time:       395 |        395 |             importlib.metadata._functools
import time:       414 |        809 |           importlib.metadata._text
import time:       726 |      10402 |         importlib.metadata._adapters
import time:       632 |        632 |         importlib.metadata._meta
import time:       542 |        542 |         importlib.metadata._collections
import time:       384 |        384 |         importlib.metadata._itertools
import time:       582 |        582 |               importlib.resources.abc
import time:      1596 |       1596 |               importlib.resources._adapters
import time:      1171 |       3349 |             importlib.resources._common
import time:       687 |        687 |             importlib.resources._legacy
import time:       636 |       4671 |           importlib.resources
import time:       551 |       5222 |         importlib.abc
import time:      1384 |      19132 |       importlib.metadata
import time:       820 |        820 |         email.feedparser
import time:       641 |       1461 |       email.parser
import time:      2949 |      25589 |     plotly
import time:       907 |      26495 |   plotly.graph_objects
import time:       696 |        696 |     plotly._subplots
import time:       547 |        547 |         _plotly_utils.optional_imports
import time:       643 |        643 |                 narwhals.dependencies
import time:       632 |        632 |                     narwhals.exceptions
import time:      1199 |       1831 |                   narwhals.utils
import time:       730 |       2560 |                 narwhals.dtypes
import time:      1305 |       1305 |                   narwhals._expression_parsing
import time:       503 |        503 |                     narwhals.expr_cat
import time:       529 |        529 |                     narwhals.expr_dt
import time:       465 |        465 |                     narwhals.expr_list
import time:       457 |        457 |                     narwhals.expr_name
import time:       604 |        604 |                     narwhals.expr_str
import time:       435 |        435 |                     narwhals.expr_struct
import time:       496 |        496 |                     narwhals.translate
import time:       832 |       4317 |                   narwhals.expr
import time:       482 |       6103 |                 narwhals.selectors
import time:       463 |        463 |                       narwhals.schema
import time:       888 |       1350 |                     narwhals.dataframe
import time:       489 |        489 |                         narwhals.series_cat
import time:       675 |        675 |                         narwhals.series_dt
import time:       553 |        553 |                         narwhals.series_list
import time:       518 |        518 |                         narwhals.series_str
import time:       437 |        437 |                         narwhals.series_struct
import time:      1043 |       1043 |                               narwhals._compliant.typing
import time:      1003 |       2046 |                             narwhals._compliant.dataframe
import time:      1413 |       1413 |                               narwhals._compliant.any_namespace
import time:       808 |        808 |                               narwhals._compliant.namespace
import time:      1203 |       3422 |                             narwhals._compliant.expr
import time:       941 |        941 |                             narwhals._compliant.group_by
import time:      1755 |       1755 |                             narwhals._compliant.selectors
import time:      1615 |       1615 |                                 typing_extensions
import time:      1164 |       2778 |                               narwhals._translate
import time:       946 |       3724 |                             narwhals._compliant.series
import time:       904 |        904 |                             narwhals._compliant.when_then
import time:       683 |      13473 |                           narwhals._compliant
import time:       904 |      14376 |                         narwhals.typing
import time:       704 |      17750 |                       narwhals.series
import time:       632 |      18382 |                     narwhals.functions
import time:       460 |        460 |                       narwhals.stable.v1._dtypes
import time:       535 |        995 |                     narwhals.stable.v1.dtypes
import time:      1077 |      21804 |                   narwhals.stable.v1
import time:       430 |      22233 |                 narwhals.stable
import time:       725 |      32263 |               narwhals
import time:        14 |      32276 |             narwhals.stable
import time:        22 |      32298 |           narwhals.stable.v1
import time:       988 |        988 |           PIL._version
import time:      2394 |      35679 |         _plotly_utils.basevalidators
import time:       658 |      36883 |       _plotly_utils.utils
import time:       531 |        531 |       _plotly_utils.exceptions
import time:       363 |        363 |       plotly.optional_imports
import time:       400 |        400 |       plotly.shapeannotation
import time:      1398 |      39573 |     plotly.basedatatypes
import time:      3597 |      43865 |   plotly.subplots
import time:       688 |     658399 | hsim.core.utils.utils
import time:       689 |        689 |     scipy.__config__
import time:       383 |        383 |     scipy.version
import time:        76 |         76 |       scipy._distributor_init_local
import time:       401 |        477 |     scipy._distributor_init
import time:       328 |        328 |         cython
import time:       668 |        995 |       scipy._lib._testutils
import time:       481 |       1476 |     scipy._lib
import time:       607 |        607 |     scipy._lib._pep440
import time:       962 |        962 |       scipy._lib._ccallback_c
import time:       851 |       1813 |     scipy._lib._ccallback
import time:       728 |       6170 |   scipy
import time:       661 |        661 |   scipy.stats._warnings_errors
import time:       657 |        657 |               numpy._typing._add_docstring
import time:       460 |       1116 |             numpy.typing
import time:       584 |        584 |                 scipy._lib.array_api_compat.common._helpers
import time:       498 |       1082 |               scipy._lib.array_api_compat.common
import time:       455 |       1536 |             scipy._lib.array_api_compat
import time:       490 |        490 |                 numpy.core._utils
import time:       444 |        934 |               numpy.core
import time:       720 |        720 |                     unittest.util
import time:       790 |       1509 |                   unittest.result
import time:      1629 |       1629 |                     difflib
import time:      1202 |       2830 |                   unittest.case
import time:       682 |        682 |                   unittest.suite
import time:       793 |        793 |                   unittest.loader
import time:       945 |        945 |                       gettext
import time:      1030 |       1975 |                     argparse
import time:       473 |        473 |                       unittest.signals
import time:       652 |       1125 |                     unittest.runner
import time:       484 |       3583 |                   unittest.main
import time:       564 |       9958 |                 unittest
import time:       554 |        554 |                 numpy.testing._private
import time:       480 |        480 |                     concurrent
import time:       773 |        773 |                     concurrent.futures._base
import time:       536 |       1788 |                   concurrent.futures
import time:     45603 |      47391 |                 numpy.testing._private.utils
import time:      1092 |       1092 |                 numpy.testing._private.extbuild
import time:       436 |        436 |                 numpy.testing.overrides
import time:       567 |      59996 |               numpy.testing
import time:       792 |        792 |                     fileinput
import time:      1084 |       1084 |                           charset_normalizer.constant
import time:      1146 |       1146 |                             charset_normalizer.md__mypyc
import time:       133 |        133 |                               _multibytecodec
import time:      1031 |       1164 |                             charset_normalizer.utils
import time:      1055 |       3365 |                           charset_normalizer.md
import time:       912 |        912 |                           charset_normalizer.models
import time:       494 |       5853 |                         charset_normalizer.cd
import time:       678 |       6531 |                       charset_normalizer.api
import time:       414 |        414 |                       charset_normalizer.legacy
import time:       355 |        355 |                       charset_normalizer.version
import time:       743 |       8040 |                     charset_normalizer
import time:       378 |        378 |                     numpy.f2py.__version__
import time:       521 |        521 |                       numpy.f2py.cfuncs
import time:       848 |       1368 |                     numpy.f2py.auxfuncs
import time:      1106 |       1106 |                     numpy.f2py.symbolic
import time:     10331 |      22013 |                   numpy.f2py.crackfortran
import time:      1483 |       1483 |                       numpy.f2py.cb_rules
import time:       564 |        564 |                       numpy.f2py._isocbind
import time:       794 |       2839 |                     numpy.f2py.capi_maps
import time:       451 |        451 |                       numpy.f2py.func2subr
import time:       475 |        925 |                     numpy.f2py.common_rules
import time:       442 |        442 |                     numpy.f2py.use_rules
import time:       496 |        496 |                     numpy.f2py.f90mod_rules
import time:      3913 |       8613 |                   numpy.f2py.rules
import time:       599 |        599 |                   numpy.f2py._backends
import time:       782 |      32007 |                 numpy.f2py.f2py2e
import time:       559 |        559 |                 numpy.f2py.diagnose
import time:       472 |      33037 |               numpy.f2py
import time:       625 |        625 |               numpy.ctypeslib
import time:       554 |        554 |                     numpy._core.strings
import time:       397 |        951 |                   numpy.strings
import time:       663 |       1614 |                 numpy._core.defchararray
import time:       464 |       2077 |               numpy.char
import time:       399 |        399 |                   numpy.fft._pocketfft_umath
import time:       654 |       1053 |                 numpy.fft._pocketfft
import time:       682 |        682 |                 numpy.fft._helper
import time:       652 |        652 |                 numpy.fft.helper
import time:       497 |       2883 |               numpy.fft
import time:       463 |        463 |               numpy.rec
import time:       441 |        441 |                   numpy.polynomial.polyutils
import time:       719 |        719 |                   numpy.polynomial._polybase
import time:       689 |       1848 |                 numpy.polynomial.polynomial
import time:       902 |        902 |                 numpy.polynomial.chebyshev
import time:       534 |        534 |                 numpy.polynomial.legendre
import time:       571 |        571 |                 numpy.polynomial.hermite
import time:       641 |        641 |                 numpy.polynomial.hermite_e
import time:       606 |        606 |                 numpy.polynomial.laguerre
import time:       532 |       5632 |               numpy.polynomial
import time:      1725 |       1725 |                 scipy._lib.array_api_compat.common._aliases
import time:       448 |        448 |                 scipy._lib.array_api_compat._internal
import time:       411 |        411 |                 scipy._lib.array_api_compat.numpy._info
import time:      1099 |       3681 |               scipy._lib.array_api_compat.numpy._aliases
import time:       859 |        859 |                 scipy._lib.array_api_compat.common._linalg
import time:       632 |       1490 |               scipy._lib.array_api_compat.numpy.linalg
import time:       421 |        421 |                 scipy._lib.array_api_compat.common._fft
import time:       631 |       1052 |               scipy._lib.array_api_compat.numpy.fft
import time:       775 |     112642 |             scipy._lib.array_api_compat.numpy
import time:       668 |     115961 |           scipy._lib._array_api
import time:       871 |        871 |           scipy._lib._docscrape
import time:       937 |     117768 |         scipy._lib._util
import time:       622 |     118390 |       scipy.sparse._sputils
import time:       472 |        472 |       scipy.sparse._matrix
import time:       994 |     119855 |     scipy.sparse._base
import time:      1105 |       1105 |       scipy.sparse._sparsetools
import time:       586 |        586 |         scipy.sparse._data
import time:       480 |        480 |         scipy.sparse._index
import time:       802 |       1867 |       scipy.sparse._compressed
import time:       614 |       3585 |     scipy.sparse._csr
import time:       472 |        472 |     scipy.sparse._csc
import time:      1021 |       1021 |       scipy.sparse._csparsetools
import time:       646 |       1666 |     scipy.sparse._lil
import time:       913 |        913 |     scipy.sparse._dok
import time:      1110 |       1110 |     scipy.sparse._coo
import time:       716 |        716 |     scipy.sparse._dia
import time:       858 |        858 |     scipy.sparse._bsr
import time:      2182 |       2182 |     scipy.sparse._construct
import time:       912 |        912 |     scipy.sparse._extract
import time:       852 |        852 |     scipy.sparse._matrix_io
import time:       914 |        914 |               scipy.sparse.linalg._interface
import time:       531 |        531 |               scipy.sparse.linalg._isolve.utils
import time:      2206 |       2206 |                     scipy.linalg._fblas
import time:       257 |        257 |                     scipy.linalg._cblas
import time:        81 |         81 |                     scipy.linalg._fblas_64
import time:       697 |       3240 |                   scipy.linalg.blas
import time:      3038 |       3038 |                     scipy.linalg._flapack
import time:       127 |        127 |                     scipy.linalg._clapack
import time:        63 |         63 |                     scipy.linalg._flapack_64
import time:      1248 |       4475 |                   scipy.linalg.lapack
import time:      1148 |       8862 |                 scipy.linalg._misc
import time:      1482 |       1482 |                   scipy.linalg.cython_lapack
import time:       695 |       2177 |                 scipy.linalg._cythonized_array_utils
import time:       745 |        745 |                   scipy.linalg._decomp
import time:       492 |        492 |                   scipy.linalg._decomp_svd
import time:       511 |        511 |                   scipy.linalg._solve_toeplitz
import time:      1102 |       2848 |                 scipy.linalg._basic
import time:       529 |        529 |                   scipy.linalg._decomp_lu_cython
import time:       584 |       1113 |                 scipy.linalg._decomp_lu
import time:       674 |        674 |                 scipy.linalg._decomp_ldl
import time:       582 |        582 |                 scipy.linalg._decomp_cholesky
import time:       497 |        497 |                 scipy.linalg._decomp_qr
import time:       621 |        621 |                 scipy.linalg._decomp_qz
import time:       936 |        936 |                 scipy.linalg._decomp_schur
import time:       520 |        520 |                 scipy.linalg._decomp_polar
import time:       572 |        572 |                   scipy.linalg._expm_frechet
import time:       554 |        554 |                     scipy.linalg._matfuncs_sqrtm_triu
import time:       505 |       1059 |                   scipy.linalg._matfuncs_sqrtm
import time:       576 |        576 |                   scipy.linalg._matfuncs_expm
import time:       444 |        444 |                   scipy.linalg._linalg_pythran
import time:       772 |       3420 |                 scipy.linalg._matfuncs
import time:       684 |        684 |                 scipy.linalg._special_matrices
import time:       649 |        649 |                 scipy.linalg._solvers
import time:       454 |        454 |                 scipy.linalg._procrustes
import time:       760 |        760 |                   scipy.linalg.cython_blas
import time:       509 |       1268 |                 scipy.linalg._decomp_update
import time:      1543 |       1543 |                 scipy.linalg._sketches
import time:       591 |        591 |                 scipy.linalg._decomp_cossin
import time:       613 |        613 |                   scipy._lib.deprecation
import time:       666 |       1278 |                 scipy.linalg.decomp
import time:       750 |        750 |                 scipy.linalg.decomp_cholesky
import time:       826 |        826 |                 scipy.linalg.decomp_lu
import time:       712 |        712 |                 scipy.linalg.decomp_qr
import time:       777 |        777 |                 scipy.linalg.decomp_svd
import time:       636 |        636 |                 scipy.linalg.decomp_schur
import time:       475 |        475 |                 scipy.linalg.basic
import time:       431 |        431 |                 scipy.linalg.misc
import time:       535 |        535 |                 scipy.linalg.special_matrices
import time:       497 |        497 |                 scipy.linalg.matfuncs
import time:      1401 |      35748 |               scipy.linalg
import time:       717 |      37909 |             scipy.sparse.linalg._isolve.iterative
import time:       506 |        506 |             scipy.sparse.linalg._isolve.minres
import time:       527 |        527 |               scipy.sparse.linalg._isolve._gcrotmk
import time:       864 |       1390 |             scipy.sparse.linalg._isolve.lgmres
import time:       491 |        491 |             scipy.sparse.linalg._isolve.lsqr
import time:       492 |        492 |             scipy.sparse.linalg._isolve.lsmr
import time:       453 |        453 |             scipy.sparse.linalg._isolve.tfqmr
import time:       715 |      41954 |           scipy.sparse.linalg._isolve
import time:       668 |        668 |               scipy.sparse.linalg._dsolve._superlu
import time:       444 |        444 |                 scikits
import time:        27 |        470 |               scikits.umfpack
import time:       949 |       2086 |             scipy.sparse.linalg._dsolve.linsolve
import time:       531 |        531 |             scipy.sparse.linalg._dsolve._add_newdocs
import time:       574 |       3189 |           scipy.sparse.linalg._dsolve
import time:       999 |        999 |                   scipy._lib.decorator
import time:       481 |       1480 |                 scipy._lib._threadsafety
import time:       821 |        821 |                 scipy.sparse.linalg._eigen.arpack._arpack
import time:      1044 |       3344 |               scipy.sparse.linalg._eigen.arpack.arpack
import time:       592 |       3936 |             scipy.sparse.linalg._eigen.arpack
import time:       801 |        801 |               scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:       503 |       1303 |             scipy.sparse.linalg._eigen.lobpcg
import time:       228 |        228 |                 scipy.sparse.linalg._propack
import time:       784 |        784 |                 scipy.sparse.linalg._propack._spropack
import time:       675 |        675 |                 scipy.sparse.linalg._propack._dpropack
import time:       695 |        695 |                 scipy.sparse.linalg._propack._cpropack
import time:       602 |        602 |                 scipy.sparse.linalg._propack._zpropack
import time:       607 |       3589 |               scipy.sparse.linalg._svdp
import time:      1757 |       5345 |             scipy.sparse.linalg._eigen._svds
import time:       494 |      11076 |           scipy.sparse.linalg._eigen
import time:       510 |        510 |               scipy.sparse.linalg._onenormest
import time:       753 |       1263 |             scipy.sparse.linalg._expm_multiply
import time:      1223 |       2486 |           scipy.sparse.linalg._matfuncs
import time:       498 |        498 |           scipy.sparse.linalg._norm
import time:       622 |        622 |           scipy.sparse.linalg._special_sparse_arrays
import time:       600 |        600 |           scipy.sparse.linalg.isolve
import time:       717 |        717 |           scipy.sparse.linalg.dsolve
import time:       689 |        689 |           scipy.sparse.linalg.interface
import time:       367 |        367 |           scipy.sparse.linalg.eigen
import time:       368 |        368 |           scipy.sparse.linalg.matfuncs
import time:       588 |      63149 |         scipy.sparse.linalg
import time:       615 |      63763 |       scipy.sparse.csgraph._laplacian
import time:       836 |        836 |           scipy.sparse.csgraph._tools
import time:       647 |       1482 |         scipy.sparse.csgraph._validation
import time:       668 |       2150 |       scipy.sparse.csgraph._shortest_path
import time:       856 |        856 |       scipy.sparse.csgraph._traversal
import time:       453 |        453 |       scipy.sparse.csgraph._min_spanning_tree
import time:       476 |        476 |       scipy.sparse.csgraph._flow
import time:       440 |        440 |       scipy.sparse.csgraph._matching
import time:       465 |        465 |       scipy.sparse.csgraph._reordering
import time:       550 |      69148 |     scipy.sparse.csgraph
import time:       783 |        783 |     scipy.sparse.base
import time:       714 |        714 |     scipy.sparse.bsr
import time:       430 |        430 |     scipy.sparse.compressed
import time:       377 |        377 |     scipy.sparse.construct
import time:       382 |        382 |     scipy.sparse.coo
import time:       364 |        364 |     scipy.sparse.csc
import time:       443 |        443 |     scipy.sparse.csr
import time:       361 |        361 |     scipy.sparse.data
import time:       355 |        355 |     scipy.sparse.dia
import time:       362 |        362 |     scipy.sparse.dok
import time:       354 |        354 |     scipy.sparse.extract
import time:       556 |        556 |     scipy.sparse.lil
import time:       528 |        528 |     scipy.sparse.sparsetools
import time:       387 |        387 |     scipy.sparse.sputils
import time:       891 |        891 |         scipy.spatial._ckdtree
import time:       638 |       1529 |       scipy.spatial._kdtree
import time:       576 |        576 |         scipy._lib.messagestream
import time:      1654 |       2229 |       scipy.spatial._qhull
import time:       450 |        450 |         scipy.spatial._voronoi
import time:       798 |       1247 |       scipy.spatial._spherical_voronoi
import time:       846 |        846 |       scipy.spatial._plotutils
import time:       450 |        450 |       scipy.spatial._procrustes
import time:       356 |        356 |           scipy.spatial._distance_wrap
import time:       404 |        404 |           scipy.spatial._hausdorff
import time:       761 |        761 |             scipy.special._sf_error
import time:       539 |        539 |               scipy.special._ufuncs_cxx
import time:       764 |        764 |               scipy.special._special_ufuncs
import time:      1123 |       2425 |             scipy.special._ufuncs
import time:       730 |        730 |             scipy.special._support_alternative_backends
import time:       460 |        460 |               scipy.special._gufuncs
import time:       421 |        421 |               scipy.special._input_validation
import time:       569 |        569 |               scipy.special._specfun
import time:       321 |        321 |               scipy.special._comb
import time:       817 |        817 |               scipy.special._multiufuncs
import time:       942 |       3529 |             scipy.special._basic
import time:       602 |        602 |                 scipy._lib.array_api_extra._funcs
import time:       667 |       1268 |               scipy._lib.array_api_extra
import time:       754 |       2022 |             scipy.special._logsumexp
import time:       767 |        767 |             scipy.special._orthogonal
import time:       424 |        424 |             scipy.special._spfun_stats
import time:       410 |        410 |               scipy.special._ellip_harm_2
import time:       468 |        877 |             scipy.special._ellip_harm
import time:       409 |        409 |             scipy.special._lambertw
import time:       477 |        477 |             scipy.special._spherical_bessel
import time:       446 |        446 |             scipy.special.add_newdocs
import time:       431 |        431 |             scipy.special.basic
import time:       370 |        370 |             scipy.special.orthogonal
import time:       360 |        360 |             scipy.special.specfun
import time:       349 |        349 |             scipy.special.sf_error
import time:       347 |        347 |             scipy.special.spfun_stats
import time:      1086 |      15805 |           scipy.special
import time:       520 |        520 |           scipy.spatial._distance_pybind
import time:      2606 |      19690 |         scipy.spatial.distance
import time:       594 |      20284 |       scipy.spatial._geometric_slerp
import time:       540 |        540 |       scipy.spatial.ckdtree
import time:       696 |        696 |       scipy.spatial.kdtree
import time:       516 |        516 |       scipy.spatial.qhull
import time:       407 |        407 |           backports_abc
import time:      3099 |       3099 |               scipy.constants._codata
import time:      1126 |       1126 |               scipy.constants._constants
import time:       791 |        791 |               scipy.constants.codata
import time:       546 |        546 |               scipy.constants.constants
import time:      1135 |       6696 |             scipy.constants
import time:       444 |       7139 |           scipy.spatial.transform._rotation_groups
import time:      1442 |       8987 |         scipy.spatial.transform._rotation
import time:       671 |        671 |         scipy.spatial.transform._rotation_spline
import time:       608 |        608 |         scipy.spatial.transform.rotation
import time:       624 |      10888 |       scipy.spatial.transform
import time:       550 |      39771 |     scipy.spatial
import time:       553 |        553 |           scipy.optimize._dcsrch
import time:       732 |       1284 |         scipy.optimize._linesearch
import time:       566 |        566 |           scipy.optimize._group_columns
import time:       777 |       1343 |         scipy.optimize._numdiff
import time:      1009 |       1009 |           scipy.optimize._hessian_update_strategy
import time:       989 |       1998 |         scipy.optimize._differentiable_functions
import time:      2251 |       6875 |       scipy.optimize._optimize
import time:       563 |        563 |           scipy.optimize._trustregion
import time:       630 |       1193 |         scipy.optimize._trustregion_dogleg
import time:       508 |        508 |         scipy.optimize._trustregion_ncg
import time:      1373 |       1373 |             scipy.optimize._trlib._trlib
import time:       999 |       2372 |           scipy.optimize._trlib
import time:       458 |       2829 |         scipy.optimize._trustregion_krylov
import time:       804 |        804 |         scipy.optimize._trustregion_exact
import time:      1281 |       1281 |             scipy.optimize._constraints
import time:       436 |        436 |                   sksparse
import time:        37 |        472 |                 sksparse.cholmod
import time:       932 |       1404 |               scipy.optimize._trustregion_constr.projections
import time:       672 |        672 |               scipy.optimize._trustregion_constr.qp_subproblem
import time:      1114 |       3190 |             scipy.optimize._trustregion_constr.equality_constrained_sqp
import time:      1719 |       1719 |             scipy.optimize._trustregion_constr.canonical_constraint
import time:       712 |        712 |             scipy.optimize._trustregion_constr.tr_interior_point
import time:      1169 |       1169 |             scipy.optimize._trustregion_constr.report
import time:      1162 |       9231 |           scipy.optimize._trustregion_constr.minimize_trustregion_constr
import time:       557 |       9787 |         scipy.optimize._trustregion_constr
import time:       680 |        680 |           scipy.optimize._lbfgsb
import time:       639 |       1318 |         scipy.optimize._lbfgsb_py
import time:      1021 |       1021 |           scipy.optimize._moduleTNC
import time:       875 |       1895 |         scipy.optimize._tnc
import time:       721 |        721 |           scipy.optimize._cobyla
import time:       961 |       1682 |         scipy.optimize._cobyla_py
import time:       579 |        579 |         scipy.optimize._cobyqa_py
import time:       527 |        527 |           scipy.optimize._slsqp
import time:       900 |       1427 |         scipy.optimize._slsqp_py
import time:       976 |      22994 |       scipy.optimize._minimize
import time:       459 |        459 |           scipy.optimize._minpack
import time:       556 |        556 |                 scipy.optimize._lsq.common
import time:       598 |       1153 |               scipy.optimize._lsq.trf
import time:       451 |        451 |               scipy.optimize._lsq.dogbox
import time:       971 |       2574 |             scipy.optimize._lsq.least_squares
import time:       592 |        592 |                 scipy.optimize._lsq.givens_elimination
import time:       622 |       1214 |               scipy.optimize._lsq.trf_linear
import time:       547 |        547 |               scipy.optimize._lsq.bvls
import time:       487 |       2247 |             scipy.optimize._lsq.lsq_linear
import time:       635 |       5455 |           scipy.optimize._lsq
import time:       688 |       6601 |         scipy.optimize._minpack_py
import time:       536 |        536 |         scipy.optimize._spectral
import time:      1745 |       1745 |         scipy.optimize._nonlin
import time:       634 |       9515 |       scipy.optimize._root
import time:       625 |        625 |           scipy.optimize._zeros
import time:       840 |       1465 |         scipy.optimize._zeros_py
import time:       751 |       2215 |       scipy.optimize._root_scalar
import time:       488 |        488 |         scipy.optimize._cython_nnls
import time:       672 |       1160 |       scipy.optimize._nnls
import time:      1715 |       1715 |       scipy.optimize._basinhopping
import time:       750 |        750 |             scipy.optimize._highspy
import time:      3744 |       3744 |             scipy.optimize._highspy._core
import time:       708 |        708 |             scipy.optimize._highspy._highs_options
import time:       751 |       5952 |           scipy.optimize._highspy._highs_wrapper
import time:       906 |       6858 |         scipy.optimize._linprog_highs
import time:       424 |        424 |                         uarray
import time:       462 |        462 |                             scipy._lib._uarray._uarray
import time:       868 |       1329 |                           scipy._lib._uarray._backend
import time:       540 |       1869 |                         scipy._lib._uarray
import time:       552 |       2844 |                       scipy._lib.uarray
import time:      1285 |       4128 |                     scipy.fft._basic
import time:       558 |        558 |                     scipy.fft._realtransforms
import time:       417 |        417 |                       scipy.fft._fftlog_backend
import time:       370 |        786 |                     scipy.fft._fftlog
import time:       489 |        489 |                           scipy.fft._pocketfft.pypocketfft
import time:       473 |        473 |                           scipy.fft._pocketfft.helper
import time:       873 |       1834 |                         scipy.fft._pocketfft.basic
import time:       449 |        449 |                         scipy.fft._pocketfft.realtransforms
import time:       750 |       3032 |                       scipy.fft._pocketfft
import time:       425 |       3456 |                     scipy.fft._helper
import time:       422 |        422 |                       scipy.fft._basic_backend
import time:       369 |        369 |                       scipy.fft._realtransforms_backend
import time:       497 |       1288 |                     scipy.fft._backend
import time:       599 |      10813 |                   scipy.fft
import time:       769 |      11581 |                 scipy.linalg._decomp_interpolative
import time:       587 |      12168 |               scipy.linalg.interpolative
import time:       553 |      12720 |             scipy.optimize._remove_redundancy
import time:      1095 |      13815 |           scipy.optimize._linprog_util
import time:       363 |        363 |           sksparse
import time:       283 |        283 |             scikits
import time:        19 |        302 |           scikits.umfpack
import time:       969 |      15447 |         scipy.optimize._linprog_ip
import time:       409 |        409 |         scipy.optimize._linprog_simplex
import time:       603 |        603 |           scipy.optimize._bglu_dense
import time:       691 |       1294 |         scipy.optimize._linprog_rs
import time:       491 |        491 |         scipy.optimize._linprog_doc
import time:       733 |      25230 |       scipy.optimize._linprog
import time:       363 |        363 |       scipy.optimize._lsap
import time:      2643 |       2643 |       scipy.optimize._differentialevolution
import time:       424 |        424 |         scipy.optimize._pava_pybind
import time:       818 |       1242 |       scipy.optimize._isotonic
import time:       398 |        398 |           scipy.optimize._shgo_lib
import time:       581 |        581 |           scipy.optimize._shgo_lib._vertex
import time:       655 |       1634 |         scipy.optimize._shgo_lib._complex
import time:       629 |       2262 |       scipy.optimize._shgo
import time:      1264 |       1264 |       scipy.optimize._dual_annealing
import time:       503 |        503 |       scipy.optimize._qap
import time:       374 |        374 |         scipy.optimize._direct
import time:       563 |        937 |       scipy.optimize._direct_py
import time:       475 |        475 |       scipy.optimize._milp
import time:       372 |        372 |       scipy.optimize.cobyla
import time:       356 |        356 |       scipy.optimize.lbfgsb
import time:       346 |        346 |       scipy.optimize.linesearch
import time:       345 |        345 |       scipy.optimize.minpack
import time:       346 |        346 |       scipy.optimize.minpack2
import time:       373 |        373 |       scipy.optimize.moduleTNC
import time:       323 |        323 |       scipy.optimize.nonlin
import time:       301 |        301 |       scipy.optimize.optimize
import time:       476 |        476 |       scipy.optimize.slsqp
import time:       541 |        541 |       scipy.optimize.tnc
import time:       462 |        462 |       scipy.optimize.zeros
import time:      1060 |      84684 |     scipy.optimize
import time:       496 |        496 |         scipy._lib.doccer
import time:       403 |        403 |         scipy.stats._distr_params
import time:       813 |        813 |         scipy.integrate._quadrature
import time:       889 |        889 |           scipy.integrate._odepack
import time:       409 |       1298 |         scipy.integrate._odepack_py
import time:       357 |        357 |           scipy.integrate._quadpack
import time:       639 |        995 |         scipy.integrate._quadpack_py
import time:       705 |        705 |           scipy.integrate._vode
import time:       431 |        431 |           scipy.integrate._dop
import time:       594 |        594 |           scipy.integrate._lsoda
import time:       708 |       2438 |         scipy.integrate._ode
import time:       936 |        936 |         scipy.integrate._bvp
import time:       532 |        532 |               scipy.integrate._ivp.common
import time:       517 |        517 |               scipy.integrate._ivp.base
import time:       550 |       1599 |             scipy.integrate._ivp.bdf
import time:       579 |        579 |             scipy.integrate._ivp.radau
import time:       419 |        419 |               scipy.integrate._ivp.dop853_coefficients
import time:       565 |        984 |             scipy.integrate._ivp.rk
import time:       419 |        419 |             scipy.integrate._ivp.lsoda
import time:       740 |       4319 |           scipy.integrate._ivp.ivp
import time:       554 |       4873 |         scipy.integrate._ivp
import time:      1492 |       1492 |         scipy.integrate._quad_vec
import time:       434 |        434 |           scipy._lib._elementwise_iterative_method
import time:       666 |       1100 |         scipy.integrate._tanhsinh
import time:       599 |        599 |             scipy.integrate._rules._base
import time:       442 |        442 |             scipy.integrate._rules._genz_malik
import time:       374 |        374 |               scipy.integrate._rules._gauss_legendre
import time:       446 |        819 |             scipy.integrate._rules._gauss_kronrod
import time:       478 |       2336 |           scipy.integrate._rules
import time:      1378 |       3714 |         scipy.integrate._cubature
import time:       672 |        672 |         scipy.integrate._lebedev
