import time: self [us] | cumulative | imported package
import time:       983 |      18928 |             numpy.matrixlib.defmatrix
import time:       482 |      19410 |           numpy.matrixlib
import time:       577 |        577 |             numpy.lib._histograms_impl
import time:      1457 |       2034 |           numpy.lib._function_base_impl
import time:       708 |      22150 |         numpy.lib._index_tricks_impl
import time:       706 |        706 |         numpy.lib._nanfunctions_impl
import time:       708 |        708 |         numpy.lib._shape_base_impl
import time:      1707 |       1707 |         numpy.lib._arraysetops_impl
import time:       835 |        835 |         numpy.lib._polynomial_impl
import time:       782 |        782 |         numpy.lib._arrayterator_impl
import time:       815 |        815 |         numpy.lib._arraypad_impl
import time:       554 |        554 |         numpy.lib._version
import time:      1123 |      46573 |       numpy.lib
import time:       641 |        641 |       numpy._array_api_info
import time:      2967 |     111907 |     numpy
import time:       767 |        767 |       pytz.exceptions
import time:      1060 |       1060 |         threading
import time:       634 |       1694 |       pytz.lazy
import time:        56 |         56 |           _bisect
import time:       722 |        778 |         bisect
import time:       545 |       1322 |       pytz.tzinfo
import time:       861 |        861 |       pytz.tzfile
import time:      1326 |       5969 |     pytz
import time:       514 |        514 |       dateutil._version
import time:       734 |       1248 |     dateutil
import time:      1229 |       1229 |         sysconfig
import time:      1028 |       2256 |       pandas.compat._constants
import time:       615 |        615 |           _compression
import time:      2413 |       2413 |           _bz2
import time:      1129 |       4155 |         bz2
import time:      2110 |       2110 |           _lzma
import time:       757 |       2866 |         lzma
import time:       876 |       7897 |       pandas.compat.compressors
import time:       431 |        431 |           pandas.util
import time:      2139 |       2569 |         pandas.util.version
import time:       678 |       3247 |       pandas.compat.numpy
import time:        63 |         63 |           gc
import time:       590 |        590 |           importlib
import time:       708 |        708 |           pyarrow._generated_version
import time:      2255 |       2255 |               _decimal
import time:      1038 |       3292 |             decimal
import time:       389 |        389 |             cloudpickle
import time:      1160 |       1160 |             signal
import time:      2456 |       2456 |                 _socket
import time:      1775 |       1775 |                   select
import time:      1306 |       3080 |                 selectors
import time:       122 |        122 |                 errno
import time:      1579 |       7237 |               socket
import time:       872 |       8108 |             pyarrow.util
import time:        58 |         58 |             atexit
import time:      1604 |       1604 |               _uuid
import time:      1448 |       3051 |             uuid
import time:        78 |         78 |                 _heapq
import time:       681 |        758 |               heapq
import time:      1081 |       1081 |               _queue
import time:       826 |       2665 |             queue
import time:      9942 |      28663 |           pyarrow.lib
import time:      1305 |       1305 |           pyarrow.ipc
import time:      1184 |       1184 |           pyarrow.types
import time:      1328 |      33839 |         pyarrow
import time:      1012 |      34850 |       pandas.compat.pyarrow
import time:       632 |      48881 |     pandas.compat
import time:       390 |        390 |                   backports_abc
import time:       703 |       1092 |                 numpy.random._common
import time:        98 |         98 |                     binascii
import time:       615 |        713 |                   base64
import time:      2703 |       2703 |                     _hashlib
import time:       120 |        120 |                       _blake2
import time:       984 |       1103 |                     hashlib
import time:       939 |       4745 |                   hmac
import time:        47 |         47 |                     _random
import time:        42 |         42 |                     _sha2
import time:      1336 |       1425 |                   random
import time:       573 |       7454 |                 secrets
import time:       735 |       9280 |               numpy.random.bit_generator
import time:       361 |        361 |                 numpy.random._bounded_integers
import time:       339 |        339 |                 numpy.random._mt19937
import time:      1099 |       1797 |               numpy.random.mtrand
import time:       438 |        438 |               numpy.random._philox
import time:       394 |        394 |               numpy.random._pcg64
import time:       386 |        386 |               numpy.random._sfc64
import time:      1003 |       1003 |               numpy.random._generator
import time:       627 |      13922 |             numpy.random._pickle
import time:       628 |      14550 |           numpy.random
import time:      2632 |      17181 |         pandas._typing
import time:        47 |         47 |                 _opcode
import time:       689 |        735 |               opcode
import time:      1017 |       1752 |             dis
import time:        50 |         50 |             importlib.machinery
import time:       879 |        879 |                 token
import time:        53 |         53 |                 _tokenize
import time:      1634 |       2565 |               tokenize
import time:       718 |       3283 |             linecache
import time:      2135 |       7218 |           inspect
import time:       660 |       7878 |         pandas.util._exceptions
import time:      1157 |      26215 |       pandas._config.config
import time:       787 |        787 |       pandas._config.dates
import time:      1151 |       1151 |           _locale
import time:      1258 |       2409 |         locale
import time:       610 |       3018 |       pandas._config.display
import time:       641 |      30660 |     pandas._config
import time:       507 |        507 |       pandas.core
import time:      1844 |       2350 |     pandas.core.config_init
import time:       962 |        962 |         pandas._libs.pandas_parser
import time:       514 |        514 |         pandas._libs.pandas_datetime
import time:       858 |        858 |                     pandas._libs.tslibs.ccalendar
import time:       655 |        655 |                     pandas._libs.tslibs.np_datetime
import time:      1820 |       3333 |                   pandas._libs.tslibs.dtypes
import time:       554 |        554 |                     pandas._libs.tslibs.base
import time:       680 |        680 |                         pandas._libs.tslibs.nattype
import time:       855 |        855 |                             pandas.compat._optional
import time:       608 |        608 |                               zoneinfo._tzpath
import time:       428 |        428 |                               zoneinfo._common
import time:      1041 |       1041 |                               _zoneinfo
import time:       735 |       2811 |                             zoneinfo
import time:       560 |        560 |                                     importlib._abc
import time:       139 |        698 |                                   importlib.util
import time:      1123 |       1821 |                                 six
import time:        36 |         36 |                                 six.moves
import time:       494 |        494 |                                 dateutil.tz._common
import time:       832 |        832 |                                 dateutil.tz._factories
import time:      1103 |       1103 |                                   ctypes.wintypes
import time:      1177 |       2279 |                                 dateutil.tz.win
import time:      1091 |       6550 |                               dateutil.tz.tz
import time:       471 |       7021 |                             dateutil.tz
import time:      1778 |      12463 |                           pandas._libs.tslibs.timezones
import time:      1300 |       1300 |                               calendar
import time:      1375 |       2675 |                             _strptime
import time:       441 |        441 |                                 fcntl
import time:        57 |         57 |                                 msvcrt
import time:      2119 |       2616 |                               subprocess
import time:       575 |       3191 |                             pandas._config.localization
import time:      1170 |       7035 |                           pandas._libs.tslibs.fields
